0,-1.888007
1,-1.794867
2,-1.505371
3,-1.247261
4,-1.511119
5,-1.480658
6,-1.770398
7,-1.643005
8,-1.537657
9,-1.339567
10,-1.824504
11,-1.644316
12,-1.108192
13,-1.742958
14,-1.634983
15,-1.532046
16,-1.347024
17,-0.943056
18,-0.752385
19,-0.785016
20,-0.911520
21,-0.903966
22,-0.323168
23,-0.184142
24,-0.616267
25,-0.813315
26,-1.437182
27,-1.713436
28,-1.644564
29,-1.367105
30,-1.568880
31,-1.836905
32,-1.726742
33,-2.225510
34,-2.299780
35,-1.913926
36,-2.293637
37,-1.830826
38,-1.655175
39,-1.352441
40,-1.622127
41,-1.646310
42,-1.783808
43,-1.357598
44,-0.619639
45,-0.429840
46,-0.302050
47,0.566870
48,0.761192
49,0.104583
50,-0.330106
51,-0.736358
52,-1.087625
53,-1.097445
54,-1.835116
55,-1.379637
56,-1.176977
57,-1.428153
58,-0.945987
59,-0.514649
60,-1.033436
61,-1.184119
62,-1.393116
63,-1.095549
64,-1.007132
65,-0.727363
66,-0.811507
67,-0.084966
68,0.486470
69,0.799104
70,0.218128
71,-0.649376
72,-0.281274
73,-0.619235
74,-0.750771
75,-0.555307
76,-0.557031
77,-0.681868
78,-1.316838
79,-1.914959
80,-2.357717
81,-2.193404
82,-2.034359
83,-0.896594
84,-0.776723
85,-0.882205
86,-2.566246
87,-2.060236
88,-2.251205
89,-2.780231
90,-3.513095
91,-2.360633
92,-1.835882
93,-2.382608
94,-2.547133
95,-2.727707
96,-2.188691
97,-1.808167
98,-2.071226
